Designator,Mid X,Mid Y,Rotation,Layer
BT1,117.515,-99.0,180.0,top
C1,84.402651,-66.0,180.0,top
C2,84.402651,-75.5,180.0,top
D1,73.985,-61.23,90.0,top
D2,113.0,-69.77,90.0,top
D3,88.73,-87.0,180.0,top
D4,125.485,-72.73,90.0,top
M1,74.5,-104.27,0.0,top
Q1,97.23,-93.635,180.0,top
R1,108.69,-84.5,0.0,top
R2,76.5,-79.69,90.0,top
R3,126.5,-81.81,270.0,top
R4,118.485,-81.69,270.0,top
R5,84.175,-57.0,0.0,top
R6,112.8,-56.5,180.0,top
RV1,104.54,-75.27,270.0,top
RV2,123.945,-62.73,90.0,top
SW1,95.25,-103.25,270.0,top
